INFO,,,,sample details,,,,,,,sequencing details,,,genome stats,,,,,,,
Genus,Species,strain/sample ID,,"NCBI
BioSample",sex,stage,"sample
type","material
provider","collection
date","geographic
origin",nanopore,guppy model,Illumina,size (bp),"count
frags",N50 (bp),L50,"QV
(yak)","eQV
(yak)","QV
(PMD)",BUSCO v5 (diptera_odb10)
Drosophila,kambysellisi,Dkam_SHC-C100,D.kambysellisi,SAMN37596548,male,adult,single fly,Samuel H. Church,2022-10-13,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","150,025,887",1632,"4,777,679",9,42.738,45.262,-,"C:99.0%[S:98.2%,D:0.8%],F:0.8%,M:0.2%,n:3285"
Drosophila,kanekoi,Dkan_CRE,D.kanekoi,SAMN37596434,female,adult,lab strain,Scott Pitnick,missing,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","183,788,030",778,"6,638,446",9,35.228,35.101,-,"C:99.6%[S:99.1%,D:0.5%],F:0.3%,M:0.1%,n:3285"
Drosophila,kokeensis,Dkok_SHC-C184,D.kokeensis,SAMN37596560,male,adult,single fly,Samuel H. Church,2022-11-02,"USA: Kuia Natural Area Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","137,360,078",884,"8,387,460",5,36.535,36.535,-,"C:98.6%[S:97.6%,D:1.0%],F:1.1%,M:0.3%,n:3285"
Drosophila,kuntzei,Dkun_DO21,D.kuntzei,SAMN37596468,male,adult,single fly,Darren J. Obbard,2021-9,"United Kingdom: Penns in the Rocks, East Sussex, England","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","171,842,863",2062,"2,277,826",21,32.505,32.505,-,"C:99.2%[S:98.4%,D:0.8%],F:0.5%,M:0.3%,n:3285"
Drosophila,lacicola,15010-0991.12,D.lacicola,SAMN37596438,female,adult,lab strain,Scott Pitnick,1947,"USA: Fenske Lake, Minnesota","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","175,880,992",366,"7,152,290",5,38.24,37.885,-,"C:98.8%[S:98.1%,D:0.7%],F:1.1%,M:0.1%,n:3285"
Drosophila,leonis,15081-1395.01,D.leonis,SAMN37596445,female,adult,lab strain,Scott Pitnick,1992,"Mexico: Huahuapan de Leon/Izu de Matamoros,Puebla","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","180,780,699",1172,"7,904,563",8,34.552,34.44,-,"C:99.5%[S:98.7%,D:0.8%],F:0.4%,M:0.1%,n:3285"
Dichaetophora,lindae,Dlnd_MT57,D.lindae,SAMN37596585,female,adult,single fly,Masanori J. Toda,2012-10-16,"Japan: Kamou-cho, Kagoshima Pref.",-,-,"NovaSeq X Plus, 2x150","233,076,375","619,036",609,"80,345",-,-,-,"C:38.6%[S:36.4%,D:2.2%],F:34.4%,M:27.0%,n:3285"
Drosophila,longiperda,Dlon_SHC-C139,D.longiperda,SAMN37596544,female,adult,single fly,Samuel H. Church,2022-10-25,"USA: Pu'u Maka'ala Natural Area Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","134,214,776",192,"5,374,872",8,45.897,46.794,-,"C:98.6%[S:97.7%,D:0.9%],F:1.2%,M:0.2%,n:3285"
Drosophila,lutescens,14022-0271.00,D.lutescens,SAMN37596451,female,adult,lab strain,Scott Pitnick,1976,"Japan: Mito, Honshu","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","186,166,801",1269,"884,233",49,31.783,31.264,-,"C:99.5%[S:98.8%,D:0.7%],F:0.5%,M:0.0%,n:3285"
Drosophila,macrospina,Dmax_TW21,D.macrospina,SAMN37596471,female,adult,single fly,Thomas Werner,2021-06,"USA: Huron Mountains, MI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","143,058,898",623,"4,884,485",11,24.97,26.183,-,"C:99.2%[S:98.8%,D:0.4%],F:0.4%,M:0.4%,n:3285"
Drosophila,macrothrix,Dmac_SHC-C051,D.macrothrix,SAMN37596567,male,adult,single fly,Samuel H. Church,2022-10-05,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","136,888,118",607,"14,764,769",4,42.944,42.944,-,"C:99.4%[S:98.9%,D:0.5%],F:0.4%,M:0.2%,n:3285"
Drosophila,maculinotata,Dmct_TK,D.maculinotata,SAMN37596432,male,adult,lab strain,Toru Katoh,2011-Sep-23,Japan: Shiga Kogen,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","183,916,135",757,"6,259,545",7,37.566,37.061,-,"C:98.6%[S:98.1%,D:0.5%],F:0.2%,M:1.2%,n:3285"
Drosophila,mayaguana,15081-1397.00,D.mayaguana,SAMN37596436,female,adult,lab strain,Scott Pitnick,1985,"United Kingdom: Beef Island, Tortola","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","151,052,993",146,"11,221,910",5,44.711,44.175,-,"C:99.7%[S:99.2%,D:0.5%],F:0.3%,M:0.0%,n:3285"
